name,bytes,bpc,wall,rss_kb,ec,defines
signlms,19459,4.7507,30.94,3473920,0,-DFX2_SIGNLMS=1
l1x15,9151,2.2341,31.14,3473408,0,-DFX2_L1_SCALE=1.5f
maj_k6,9248,2.2578,32.52,3473408,0,-DFX2_BOOL_MAJ=1
lstm_clip20,9165,2.2375,32.58,3473920,0,-DFX2_LSTM_CLIP=20
h32_c256_lr05,9148,2.2334,47.42,3468288,0,-DFX2_LSTM_HORIZON=32 -DFX2_LSTM_CELLS=256 -DFX2_LSTM_LR=0.05f
tiny_halfmix,9245,2.2571,18.19,3440128,0,-DFX2_TINY_LSTM=1 -DFX2_DROP_HALF_MIX=1
nat_xor,29150,7.1167,33.44,3473920,0,-DFX2_NATGRAD=1 -DFX2_BOOL_XOR=1
l1x20,9152,2.2344,32.55,3473920,0,-DFX2_L1_SCALE=2.0f
maj_k12,9247,2.2576,35.48,3473920,0,-DFX2_BOOL_MAJ=1 -DFX2_BOOL_K=12
lstm_l2c100,9157,2.2356,46.93,3472896,0,-DFX2_LSTM_LAYERS=2 -DFX2_LSTM_CELLS=100
clip20_c256,9167,2.2380,49.62,3469312,0,-DFX2_LSTM_CLIP=20 -DFX2_LSTM_CELLS=256
drop_match_c256,9170,2.2388,42.98,3453952,0,-DFX2_DROP_MATCH=1 -DFX2_LSTM_CELLS=256
nat_walsh,28937,7.0647,34.25,3473408,0,-DFX2_NATGRAD=1 -DFX2_WALSH4=1
l1x40,9234,2.2544,33.43,3473920,0,-DFX2_L1_SCALE=4.0f
rm_k6,10109,2.4680,30.27,3473920,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_AND=1
lstm_l2c150,9158,2.2358,43.20,3481600,0,-DFX2_LSTM_LAYERS=2 -DFX2_LSTM_CELLS=150
skip01_l2_001,9165,2.2375,32.30,3473408,0,-DFX2_SKIP_ERR=0.01f -DFX2_L2_LR=0.001f
drop_alltwins,9242,2.2563,36.38,3395072,0,-DFX2_DROP_WORD=1 -DFX2_DROP_MATCH=1 -DFX2_DROP_HALF_MIX=1 -DFX2_LSTM_CELLS=256
sign_xor,36778,8.9790,36.05,3473920,0,-DFX2_SIGNLMS=1 -DFX2_BOOL_XOR=1
l2_0001,9192,2.2441,33.33,3473408,0,-DFX2_L2_LR=0.0001f
all2_k6,10534,2.5718,33.71,3473920,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_AND=1 -DFX2_BOOL_OR=1
lstm_c256_h64,9159,2.2361,44.67,3471360,0,-DFX2_LSTM_CELLS=256 -DFX2_LSTM_HORIZON=64
kitchen,9300,2.2705,37.54,3460608,0,-DFX2_LSTM_CELLS=256 -DFX2_LSTM_LR=0.05f -DFX2_SKIP_ERR=0.01f -DFX2_DROP_HALF_MIX=1 -DFX2_L1_SCALE=0.5f
drop_ppm_half,9275,2.2644,29.58,3454464,0,-DFX2_DROP_PPM=1 -DFX2_DROP_HALF_MIX=1
delta_xor,9729,2.3752,31.55,3473920,0,-DFX2_DSP_DELTA=1 -DFX2_BOOL_XOR=1
l2_001,9169,2.2385,31.20,3473920,0,-DFX2_L2_LR=0.001f
all2_k8,11572,2.8252,33.90,3473920,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_AND=1 -DFX2_BOOL_OR=1 -DFX2_BOOL_K=8
lstm_c256_lr05,9159,2.2361,39.25,3478528,0,-DFX2_LSTM_CELLS=256 -DFX2_LSTM_LR=0.05f
kitchen2,9159,2.2361,46.69,3474944,0,-DFX2_LSTM_CELLS=300 -DFX2_LSTM_HORIZON=64 -DFX2_SKIP_ERR=0.01f -DFX2_NO_DECAY=1
